part_lpn,override_type,override_value,reason
10-000842,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006886,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-004578,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001127,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001926,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006870,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006972,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-002331,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006723,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-004852,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006684,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-004927,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-002474,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-000650,lunar_onorder_qty,20000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006443,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-000572,lunar_onorder_qty,10000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-002138,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-07781A,makebuy,Make,"Product BOM fix (CM name mistakenly set as vendor; part is internal make, not CM buy) — temporary override"
10-07781A,sourcing_flat_qty,0,"Product BOM fix (CM name mistakenly set as vendor; part is internal make, not CM buy) — temporary override"
10-06591E,makebuy,Make,"Product BOM fix (CM name mistakenly set as vendor; part is internal make, not CM buy) — temporary override"
10-06591E,sourcing_flat_qty,0,"Product BOM fix (CM name mistakenly set as vendor; part is internal make, not CM buy) — temporary override"
10-07781A,makebuy,Make,"Product BOM fix: LFP Module, Cell Array, Gen 2 (CM name incorrectly assigned as vendor) — temporary"
10-07781A,sourcing_flat_qty,0,"Product BOM fix: LFP Module, Cell Array, Gen 2 (CM name incorrectly assigned as vendor) — temporary"
10-07946A,makebuy,Buy,"Product BOM fix: Assy, Cell Array, w/o CCS, L2.1 (CM name incorrectly assigned as vendor) — temporary"
10-07946A,sourcing_flat_qty,1,"Product BOM fix: Assy, Cell Array, w/o CCS, L2.1 (CM name incorrectly assigned as vendor) — temporary"
10-08335A,makebuy,Buy,Product BOM fix: CCA Positive Side L2.1 (CM name incorrectly assigned as vendor) — temporary
10-08335A,sourcing_flat_qty,1,Product BOM fix: CCA Positive Side L2.1 (CM name incorrectly assigned as vendor) — temporary
10-08336A,makebuy,Buy,Product BOM fix: CCA Negative Side L2.1 (CM name incorrectly assigned as vendor) — temporary
10-08336A,sourcing_flat_qty,1,Product BOM fix: CCA Negative Side L2.1 (CM name incorrectly assigned as vendor) — temporary
10-08119A,makebuy,Buy,"Product BOM fix: Push Clip, Barbed, 4.0 DIA Hole, 10.5 DIA Head (CM name incorrectly assigned as vendor) — temporary"
10-08119A,sourcing_flat_qty,8,"Product BOM fix: Push Clip, Barbed, 4.0 DIA Hole, 10.5 DIA Head (CM name incorrectly assigned as vendor) — temporary"
10-08337A,makebuy,Buy,"Product BOM fix: PP Insulation plate, CCA 2.1 (CM name incorrectly assigned as vendor) — temporary"
10-08337A,sourcing_flat_qty,2,"Product BOM fix: PP Insulation plate, CCA 2.1 (CM name incorrectly assigned as vendor) — temporary"
10-08370A,makebuy,Buy,"Product BOM fix: LPF GEN 2 Harness, DCDC to Cell Array, L2.1 (CM name incorrectly assigned as vendor) — temporary"
10-08370A,sourcing_flat_qty,1,"Product BOM fix: LPF GEN 2 Harness, DCDC to Cell Array, L2.1 (CM name incorrectly assigned as vendor) — temporary"
10-004422,makebuy,Buy,"Product BOM fix: Label, 7x7 mm QR (CM name incorrectly assigned as vendor) — temporary"
10-004422,sourcing_flat_qty,1,"Product BOM fix: Label, 7x7 mm QR (CM name incorrectly assigned as vendor) — temporary"
10-08378A,makebuy,Buy,Product BOM fix: Edge Trim Protector CA 2.1 (CM name incorrectly assigned as vendor) — temporary
10-08378A,sourcing_flat_qty,1,Product BOM fix: Edge Trim Protector CA 2.1 (CM name incorrectly assigned as vendor) — temporary
10-06591E,makebuy,Make,"Product BOM fix: DCDC Sub-assy, LFP DC ESS (CM name incorrectly assigned as vendor) — temporary"
10-06591E,sourcing_flat_qty,0,"Product BOM fix: DCDC Sub-assy, LFP DC ESS (CM name incorrectly assigned as vendor) — temporary"
10-07937A,makebuy,Buy,"Product BOM fix: Heat Sink with Seals, DCDC, LFP DC ESS (CM name incorrectly assigned as vendor) — temporary"
10-07937A,sourcing_flat_qty,1,"Product BOM fix: Heat Sink with Seals, DCDC, LFP DC ESS (CM name incorrectly assigned as vendor) — temporary"
10-06930D,makebuy,Buy,"Product BOM fix: TIM, PCBA, DCDC, LFP DC ESS (CM name incorrectly assigned as vendor) — temporary"
10-06930D,sourcing_flat_qty,1,"Product BOM fix: TIM, PCBA, DCDC, LFP DC ESS (CM name incorrectly assigned as vendor) — temporary"
10-004341,makebuy,Buy,"Product BOM fix: Screw,M3X6.5mm,SEMS and spring washer, BHT,T-8,ZiNi BC (CM name incorrectly assigned as vendor) — temporary"
10-004341,sourcing_flat_qty,12,"Product BOM fix: Screw,M3X6.5mm,SEMS and spring washer, BHT,T-8,ZiNi BC (CM name incorrectly assigned as vendor) — temporary"
10-004340,makebuy,Buy,"Product BOM fix: Screw,M4X34mm,SEMS and spring washer, BHT,T-15,ZiNi BC (CM name incorrectly assigned as vendor) — temporary"
10-004340,sourcing_flat_qty,2,"Product BOM fix: Screw,M4X34mm,SEMS and spring washer, BHT,T-15,ZiNi BC (CM name incorrectly assigned as vendor) — temporary"
10-004422,makebuy,Buy,"Product BOM fix: Label, 7x7 mm QR (CM name incorrectly assigned as vendor) — temporary"
10-004422,sourcing_flat_qty,1,"Product BOM fix: Label, 7x7 mm QR (CM name incorrectly assigned as vendor) — temporary"
10-06914E,makebuy,Make,"Product BOM fix: PCBA DCDC/BMS, with Heat Spreader, LFP DC ESS (CM name incorrectly assigned as vendor) — temporary"
