cm,part,description,state,first_shortage_date,shortage_qty,opening,undated,products
Sienna,10-003940,22 µF ±20% 25V Ceramic Capacitor X7R 1210 (3225 Metric) AEC-QAEC-Q,IN_PRODUCTION,2027-03-15,188.38709677419365,2368.0,0.0,9.6 KW Inverter
Sienna,10-002471,RX TXRX MOD WIFI SURFACE MOUNT,IN_PRODUCTION,2027-03-15,209.3870967741932,2347.0,0.0,9.6 KW Inverter
Sienna,10-005155,"Insulator Sheet, Power Board, Integrated PSA, D",IN_PRODUCTION,2027-03-15,265.3870967741932,3541.0,0.0,9.6 KW Inverter
Sienna,10-005282,"Insulator Sheet, Power Board, Lower Level, Integrated TIM and PSA",IN_PRODUCTION,2027-03-15,272.3870967741932,4634.0,0.0,9.6 KW Inverter
Sienna,10-002391,"RF/ Coaxial Connectors, 50 Ohms, FAKRA SMB Jack, Straight, PCB, Keying Option A, Black",IN_PRODUCTION,2027-03-15,552.7741935483864,9360.0,0.0,9.6 KW Inverter
Sienna,10-004584,TERM REDCUBE M3 1PIN SMD,IN_PRODUCTION,2027-03-15,605.1612903225796,16064.0,0.0,9.6 KW Inverter
Sienna,10-001663,CAP CER 47UF 6.3V X7R 1210 AEC-Q,IN_PRODUCTION,2027-03-15,790.5483870967746,10435.0,0.0,9.6 KW Inverter
Sienna,10-001453,Analog Comparators LV Comparator 0.07mA 1.7mV 10nA 23mA,IN_PRODUCTION,2027-03-15,461.7741935483864,8151.0,0.0,9.6 KW Inverter
Sienna,10-001925,"IND FIXED 10UH 1.9A 84.5MOHM SMD 0.315"" L x 0.315"" W (8.00mm x 8.00mm)",IN_PRODUCTION,2027-03-15,1048.9354838709696,26733.0,0.0,9.6 KW Inverter
Sienna,10-003097,DIODE ZENER 51V 5W DO214AA,IN_PRODUCTION,2027-03-15,1273.9354838709678,13928.0,0.0,9.6 KW Inverter
Sienna,10-002267,"Spring,MW,9.6mm,33N/mm,Ground Ends",IN_PRODUCTION,2027-03-15,1309.3225806451592,22029.0,0.0,9.6 KW Inverter
Sienna,10-001664,CAP CER 4.7UF 100V X7S 1210 AEC-Q,IN_PRODUCTION,2027-03-15,2506.290322580646,7770.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-002604,LED GREEN CLEAR CHIP SMD,IN_PRODUCTION,2027-03-15,4271.580645161288,66429.0,0.0,9.6 KW Inverter
