Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-04-2026,Lunar Netsuite,10-001610,10-001610,DIODE SCHOTTKY 80V 1A SOD123 AEC-Q,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,39989,0,0.03,1199.67,0,0,Unrestricted,39989
08-04-2026,CM: Sienna GA,10-001610 REV-01,10-001610,DIODE SCHOTTKY 80V 1A SOD123 AEC-Q,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,6000,0,0.026,156,0,1,Unrestricted,6000
08-04-2026,CM: Qualitel WA,814L-10-001610,10-001610,DIODE SCHOTTKY 80V 1A SOD123 AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,26155,0,0.026,680.03,0,0,Unrestricted,26155
08-04-2026,CM: Celestica MX,10-0016103MS,10-001610,DIODE SCHOTTKY 80V 1A SOD123 AEC-Q,Electrical Components,OTS,Monterrey Prod,1000,FALSE,Celestica,-6,0,0.0261,-0.1566,0,0,Unrestricted,-6
08-04-2026,CM: Sienna GA,C10-001611 REV-1,10-001611,DIODE ZENER 16V 500MW SOD123,Electrical Components,OTS,ATLN,WT51,TRUE,Lunar Energy,2832,0,0,0,0,1,Unrestricted,2832
08-04-2026,Lunar Netsuite,10-001611,10-001611,DIODE ZENER 16V 500MW SOD123,Electrical Components,OTS,Sienna Corporation - GA,NS,FALSE,Lunar Energy,2832,0,0.0148,41.9136,0,0,Unrestricted,0
08-04-2026,Lunar Netsuite,10-001611,10-001611,DIODE ZENER 16V 500MW SOD123,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,68023,0,0.0148,1006.7404,0,0,Unrestricted,68023
08-04-2026,CM: Qualitel WA,814L-10-001611,10-001611,DIODE ZENER 16V 500MW SOD123,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,73327,0,0.0119,872.5913,0,0,Unrestricted,73327
08-04-2026,CM: Celestica MX,10-0016113MS,10-001611,DIODE ZENER 16V 500MW SOD123,Electrical Components,OTS,Monterrey Prod,1000,FALSE,Celestica,-6,0,0.0113,-0.0678,0,0,Unrestricted,-6
08-04-2026,CM: Sienna GA,10-001622 REV-01,10-001622,CAP CER 0805 1NF 200V C0G 5% AEC-Q,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,4000,0,0.018,72,0,1,Unrestricted,4000
08-04-2026,CM: Qualitel WA,814L-10-001622,10-001622,CAP CER 0805 1NF 200V C0G 5% AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,2743,0,0.0269,73.7867,0,0,Unrestricted,2743
08-04-2026,CM: Sienna GA,10-001622 REV-01,10-001622,CAP CER 0805 1NF 200V C0G 5% AEC-Q,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,7406,0,0.018,133.308,0,1,Unrestricted,7406
08-04-2026,CM: Qualitel WA,814L-10-001625,10-001625,CAP CER 100PF 630V C0G/NP0 1206 AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,3732,0,0.0578,215.7096,0,0,Unrestricted,3732
08-04-2026,CM: Sienna GA,10-001625 REV-01,10-001625,CAP CER 100PF 630V C0G/NP0 1206 AEC-Q,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1030,0,0.059,60.77,0,1,Unrestricted,1030
