,cm,part,description,item_category,cm_on_hand,cm_on_order,cm_unit_price,cm_price_source,lunar_on_hand_alloc,lunar_on_order_alloc,lunar_unit_price,obsolescence_state,projection_type,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07
3377,Sienna,10-001323,IC REG LINEAR 3.3V 450MA 5TSOP AEC-Q,Electrical Components,7970,3000,0.33299999999999996,CM On-Hand,0,0,0.3770425,Active in Both,CM Depletion,2799,3233,2700,2152,1681,1266,882,562,516,516,516,516,516
3378,Qualitel,10-001323,IC REG LINEAR 3.3V 450MA 5TSOP AEC-Q,Electrical Components,7038,0,0.33299999999999996,CM On-Hand,0,0,0.3770425,Active in Both,CM Depletion,2424,2126,1919,1711,1528,1502,1502,1502,1502,1502,1502,1502,1502
3379,Lunar,10-001323,IC REG LINEAR 3.3V 450MA 5TSOP AEC-Q,Electrical Components,0,0,0.33299999999999996,CM On-Hand,0,4000,0.3770425,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3380,Lunar,30-005239,Inverter Power Board Type A PCBA,PCBA,0,0,0,,2,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3381,Sienna,10-002958,MOSFET P-CH 100V 22A D2PAK,Electrical Components,0,0,0.585,CM On-Hand,0,0,0.717,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3382,Celestica,10-002958,MOSFET P-CH 100V 22A D2PAK,Electrical Components,0,0,0.585,CM On-Hand,0,0,0.717,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3383,Lunar,10-002958,MOSFET P-CH 100V 22A D2PAK,Electrical Components,0,0,0.585,CM On-Hand,0,8000,0.717,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3384,Qualitel,10-002958,MOSFET P-CH 100V 22A D2PAK,Electrical Components,10173,51200,0.585,CM On-Hand,0,0,0.717,Active in Both,CM Depletion,4828,5858,9516,13017,11351,17675,17675,17675,24227,24227,24227,24227,24227
3385,Celestica,10-004474,"Exhaust Manifold Assy w/ CWool and Label, Battery Block",Part,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3386,Lunar,10-004474,"Exhaust Manifold Assy w/ CWool and Label, Battery Block",Part,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3387,Sienna,10-006147,RES 0.0025 OHM .25 W 1% 0402 SMD,Electrical Components,696,0,0.174,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3388,Lunar,10-006147,RES 0.0025 OHM .25 W 1% 0402 SMD,Electrical Components,0,0,0.174,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3389,Lunar,10-000642,"Electric Fuse, Time Lag Blow, 2A, 65A (IR)",Electrical Components,0,0,0,,88000,12000,0.05620000000000001,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3390,Lunar,10-006925,0,0,0,0,0,,0,4050,0.081,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3391,Sienna,10-004047,CAP CER 10000PF 440VAC RADIAL,Electrical Components,15733,0,0.184,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,3136,2667,2226,1772,1381,1037,719,454,415,415,415,415,415
3392,Lunar,10-004047,CAP CER 10000PF 440VAC RADIAL,Electrical Components,0,0,0.184,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3393,Qualitel,10-07241A,"SCREW, M8-1.25X10, PAN HD, T40, SEALING, STL+ZNNI",Part,6996,15020,0.5680754716981132,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,3974,11052,8553,5713,2872,1168,1168,1168,1168,1168,1168,1168,1168
3394,Lunar,10-07241A,"SCREW, M8-1.25X10, PAN HD, T40, SEALING, STL+ZNNI",Part,0,0,0.5680754716981132,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3395,Lunar,10-006677,0,0,0,0,0,,0,3150,0.119,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
