part,description,source,source_report,rows,extended_value
10-005002,"Clock Oscillator,2.0X1.6X0.8Mm S",onorder,CM: Qualitel WA,1,1000.0
10-005370,Conn Shrouded Header (4 Sides) HDR 4 POS 5.08mm Solder RA Side Entry Thru-Hole Cardboard,onhand,CM: Sienna GA,1,976.689
10-08539A,"Fan with Connector, 92mm Fan, Amphenol Connector, YS Tech",onorder,Lunar Netsuite,1,970.0
10-000575,"General Purpose Inductor, 0.0047uH, 2.128%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,1,968.072
10-002702,RES SMD 7.5 OHM 1% 1/2W 1206,onorder,Lunar Netsuite,1,967.5
10-006718,IC CURRENT SENSOR HALL EFFECT 275kHz 15mV/A 10-SOIC,onorder,Lunar Netsuite,1,944.5500000000001
10-001070,CAP ALUM 10UF 20% 50V RADIAL,onhand,Lunar Netsuite,1,943.1956
10-006906,IC FLASH 512MBIT SPI/QUAD 24-BGA (8x6),onorder,Lunar Netsuite,2,940.0
10-006898,"IND 10UH 21A 3.88 MOHM SMD (0.886"" L x 0.866"" W (22.50mm x 22.00mm))",onorder,Lunar Netsuite,2,933.0
10-006906,IC FLASH 512MBIT SPI/QUAD 24-BGA (8x6),onhand,Lunar Netsuite,1,876.55
10-002868,"CONN OFP PIN RCPT .015/.025"" DIA",onhand,Lunar Netsuite,1,852.0
10-003552,CAP FILM 0.82UF 10% 630VDC RAD,onorder,Lunar Netsuite,2,834.0
10-003879,DIODE SCHOTTKY 80V 3A SMC,onhand,Lunar Netsuite,1,798.0
10-004465,CAP CER 1UF 250V X7R 2220,onhand,Lunar Netsuite,1,790.0
10-002858,DIODE ZENER 17V 500MW SOD123,onhand,Lunar Netsuite,1,769.5
20-004050,Inverter EMC Filter,onhand,CM: Sienna GA,1,756.0
10-000573,"General Purpose Inductor, 0.0068uH, 3%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,1,738.3363
10-000580,"General Purpose Inductor, 0.018uH, 5%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,2,737.0264
10-003371,NANO-FIT HDR SMT VT DLR 4CKT 15A,onhand,Lunar Netsuite,1,729.0
10-004580,CAP CER 10000PF 3KV X7R 2220,onhand,CM: Sienna GA,2,722.7280000000001
10-08127A,"Panel, End Cap, Vent, Press-Brake",onorder,Lunar Netsuite,1,720.0
10-004116,"Enclosure, Bottom, Maximizer",onhand,CM: Sienna GA,5,713.88
10-004547,Res 5.1 Ohm 1% 1/10W 0402 Smd Aec-Q,onorder,CM: Qualitel WA,1,696.0
10-001667,DIODE ZENER 62V 590MW SOD123,onorder,Lunar Netsuite,1,687.2
10-000642,"Electric Fuse, Time Lag Blow, 2A, 65A (IR)",onorder,Lunar Netsuite,2,673.1999999999999
10-005134,"Front Cover with Capacitors,Inverter, D",onhand,Lunar Netsuite,1,661.05
10-000578,"General Purpose Inductor, 0.0062uH, 2%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,1,634.2457
10-003507,KC-LINK 2220 0.1UF 650VDC C0G,onhand,CM: Sienna GA,1,628.524
10-002728,CAP CER 0.016UF 50V X7R 0603,onhand,Lunar Netsuite,1,620.0
10-003892,CAP FILM .033UF 20% 1.25KVDC RAD,onhand,Lunar Netsuite,1,616.0
10-07233A,IND FIXED 47UH Shielded 1.15A 274.3 MOHM 2424 (6060 Metric),onhand,Lunar Netsuite,2,614.529
10-003415,MOSFET N-CH 55V 5A SOT223,onhand,CM: Sienna GA,2,585.9
10-000575,"General Purpose Inductor, 0.0047uH, 2.128%, 1 Element, SMD AEC-Q",onhand,Lunar Netsuite,1,574.2
10-000557,CAP CER 100PF 50V CH 0402,onhand,Lunar Netsuite,2,560.0
10-000583,"General Purpose Inductor, 0.033uH, 5%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,2,556.266
10-003552,CAP FILM 0.82UF 10% 630VDC RAD,onhand,Lunar Netsuite,1,550.02
10-000846,RES 5.1K OHM 0.1% 1/16W 0402,onorder,Lunar Netsuite,1,550.0
10-001772,TVS DIODE 54VWM 87.1VC DO214AB,onhand,Lunar Netsuite,1,540.175
