LPN,Description,GSM,Supplier,Arena UoM,Order Category,MOQ (#ESS)/EAU,Quoted EAU,MULT (Reel Size), Unit Price (@MOQ/EAU) ,MPN,MFG,Quote Date
10-006267,"Padded Bag, Accessories, Bridge",[MRO Part],Uline,Each,ME Non critical,,-,-, $ 0.270 ,,,Sienna Managed
10-006277,"Label, Breaker Warning, Bridge",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,7000,-,-, $ 0.137 ,,,2025/07/30
10-006287,Heat Shrink Tubing & Sleeves 2:1 Thin Wa,[MRO Part],,Millimeter,ME Non critical,-,-,-, $ 0.020 ,,,Sienna Managed
10-006288,"HEATSHRINK TUBE 1 1/2-48"" 1=1PC",[MRO Part],,Millimeter,ME Non critical,-,-,-, $ 0.060 ,,,Sienna Managed
10-006362,"Wire Harness, Rogowski Coil Jumper, Bridge, Type B",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 3.650 ,,,2025/10/01
10-006397,"TIM, PCBA, Terminal Board, Inverter",Hazel Gomes,Suzhou DL packing Material,Each,ME Non critical,7000,-,-, $ 0.090 ,,,2025/08/28
10-006426,"Heat spreader, Aluminum Nitride, TIM & p",Tejas Dixit,MyHeatSinks,Each,ME critical,2000,-,-, $ 5.010 ,,,2026/01/14
10-05006A,"Foam Seal, Top Service Entry, Bridge",Hazel Gomes,Seal Methods Inc.,Each,ME Non critical,7000,-,-, $ 0.200 ,,,Seal Methods
10-06108A,"Closing Plate, Top Service Entry, Bridge",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 1.160 ,,,
10-06110A,"Screw, Button, 12-24x0.55, T25, Steel wi",Hazel Gomes,Unisteel Technology Limited,Each,ME Non critical,7000,-,-, $ 0.057 ,,,2025/09/17
10-06501C,"Busbar Assembly, Iph A",Hazel Gomes,Suzhou Recodeal,Each,ME Non critical,7000,-,-, $ 0.690 ,,,2025/08/07
10-06502C,"Busbar Assembly, Iph B",Hazel Gomes,Suzhou Recodeal,Each,ME Non critical,7000,-,-, $ 0.700 ,,,2025/08/07
10-06684A,"Ground Bar, Power Module, 4 Terminal",Hazel Gomes,MARSH PRECISION ENGINEERING,Each,ME Non critical,5000,-,-, $ 4.250 ,,,2025/02/11
10-06690A,"Polybag, Recloseable, 360mm x 1330 mm",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 0.140 ,,,2025/09/17
10-06703A,"Foam Gasket, GaN FETs, Maximizer",Hazel Gomes,Singleton,Each,ME Non critical,7000,-,-, $ 0.280 ,,,
10-06732A,"Label, Warning, PCS",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,10000,-,-, $ 0.104 ,,,2025/07/30
10-06733A,"Label, Limit, PCS",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,10000,-,-, $ 0.144 ,,,2025/07/30
10-06734C,"Busbar Assembly, Iph BAL",Hazel Gomes,Suzhou Recodeal,Each,ME Non critical,7000,-,-, $ 0.680 ,,,2025/08/07
10-06812A,"Wire Harness, Power, DC Contactors, Nano",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 7.930 ,,,2025/10/01
10-06826A,"Fluxgate current sensor, 4P Nano-fit",Rita Lin,KG Technologies,Each,ME critical,10000,-,-, $ 10.120 ,HFCF-F01B,,2026/01/20
10-06834A,"Wire Harness, Inverter, Battery IF, Cap",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 35.830 ,,,2025/10/01
10-06847A,"Label, Low Voltage Wire Routing Diagram,",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,10000,-,-, $ 0.137 ,,,2025/07/30
10-06888A,"Tape,Polyimide,0.1mm",[MRO Part],TapeMaster,Millimeter,ME Non critical,-,-,-, - ,,,Sienna Managed
10-06918A,"Label, N Terminal, Front, Inverter",[Label - Sienna Printed],STEPHEN GOULD,Each,ME Non critical,10000,-,-, $ 0.077 ,,,2025/07/30
10-06953C,"Label,Compliance,Inverter",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,6000,-,-, $ 0.305 ,,,2025/07/30
10-06954A,"Label, Compliance, Maximizer 1.3",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,7000,-,-, $ 0.050 ,,,2025/08/14
10-07001A,"Front Door, Shielded, Inverter, Type 2",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 34.890 ,,,2025/09/17
10-07089A,"Harness, Trunk, 20 kWh, Type B",Hazel Gomes,Avalon,Each,ME critical,,-,-, $ 64.590 ,,,
10-07151A,Loctite® Instant Adhesive 401™ Prism®,[MRO Part],MCMASTER CARR,Milliliter,ME Non critical,-,-,-, - ,,,Sienna Managed
